PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,dPy_dV,Mode_Locked,S1_MLd
220,94,4.3137255,1.8431373,94,16,0.7091,-0.051,3,4,0,#N/A
220,95,4.3137255,1.8627451,88,19,0.6449,0.0642,6,-3,0,#N/A
220,96,4.3137255,1.8823529,94,24,0.5932,0.0517,-6,-5,0,#N/A
220,97,4.3137255,1.9019608,89,27,0.5345,0.0587,5,-3,0,#N/A
220,98,4.3137255,1.9215686,94,18,0.6786,-0.1441,-5,9,0,#N/A
220,99,4.3137255,1.9411765,89,23,0.5893,0.0893,5,-5,0,#N/A
220,100,4.3137255,1.9607843,94,16,0.7091,-0.1198,-5,7,0,#N/A
220,101,4.3137255,1.9803922,91,18,0.6697,0.0394,3,-2,0,#N/A
220,102,4.3137255,2,87,27,0.5263,0.1434,4,-9,0,#N/A
220,103,4.3137255,2.0196078,82,27,0.5046,0.0217,5,0,0,#N/A
220,104,4.3137255,2.0392157,81,25,0.5283,-0.0237,1,2,0,#N/A
220,105,4.3137255,2.0588235,82,19,0.6238,-0.0955,-1,6,0,#N/A
220,106,4.3137255,2.0784314,71,28,0.4343,0.1895,11,-9,0,#N/A
220,107,4.3137255,2.0980392,77,29,0.4528,-0.0185,-6,-1,0,#N/A
220,108,4.3137255,2.1176471,62,23,0.4588,-0.006,15,6,0,#N/A
220,109,4.3137255,2.1372549,70,30,0.4,0.0588,-8,-7,0,#N/A
220,110,4.3137255,2.1568627,71,34,0.3524,0.0476,-1,-4,0,#N/A
220,111,4.3137255,2.1764706,64,35,0.2929,0.0595,7,-1,0,#N/A
220,112,4.3137255,2.1960784,68,40,0.2593,0.0336,-4,-5,0,#N/A
220,113,4.3137255,2.2156863,62,36,0.2653,-0.006,6,4,0,#N/A
220,114,4.3137255,2.2352941,54,39,0.1613,0.104,8,-3,0,#N/A
220,115,4.3137255,2.254902,54,46,0.08,0.0813,0,-7,0,#N/A
220,116,4.3137255,2.2745098,48,52,-0.04,0.12,6,-6,0,#N/A
220,117,4.3137255,2.2941176,43,55,-0.1224,0.0824,5,-3,0,#N/A
220,118,4.3137255,2.3137255,28,51,-0.2911,0.1687,15,4,0,#N/A
220,119,4.3137255,2.3333333,36,55,-0.2088,-0.0823,-8,-4,0,#N/A
220,120,4.3137255,2.3529412,44,53,-0.0928,-0.116,-8,2,0,#N/A
220,121,4.3137255,2.372549,41,57,-0.1633,0.0705,3,-4,0,#N/A
220,122,4.3137255,2.3921569,64,51,0.113,-0.2763,-23,6,1,0.113
220,123,4.3137255,2.4117647,43,57,-0.14,0.253,21,-6,0,#N/A
220,124,4.3137255,2.4313725,39,60,-0.2121,0.0721,4,-3,0,#N/A
220,125,4.3137255,2.4509804,39,57,-0.1875,-0.0246,0,3,0,#N/A
220,126,4.3137255,2.4705882,42,65,-0.215,0.0275,-3,-8,0,#N/A
220,127,4.3137255,2.4901961,40,57,-0.1753,-0.0397,2,8,0,#N/A
220,128,4.3137255,2.5098039,39,60,-0.2121,0.0368,1,-3,0,#N/A
220,129,4.3137255,2.5294118,50,59,-0.0826,-0.1295,-11,1,0,#N/A
220,130,4.3137255,2.5490196,45,56,-0.1089,0.0263,5,3,0,#N/A
220,131,4.3137255,2.5686275,52,56,-0.037,-0.0719,-7,0,0,#N/A
220,132,4.3137255,2.5882353,61,54,0.0609,-0.0979,-9,2,0,#N/A
220,133,4.3137255,2.6078431,61,53,0.0702,-0.0093,0,1,0,#N/A
220,134,4.3137255,2.627451,56,40,0.1667,-0.0965,5,13,0,#N/A
220,135,4.3137255,2.6470588,59,46,0.1238,0.0429,-3,-6,0,#N/A
220,136,4.3137255,2.6666667,69,54,0.122,0.0018,-10,-8,0,#N/A
220,137,4.3137255,2.6862745,73,38,0.3153,-0.1933,-4,16,0,#N/A
220,138,4.3137255,2.7058824,72,38,0.3091,0.0062,1,0,0,#N/A
220,139,4.3137255,2.7254902,75,37,0.3393,-0.0302,-3,1,0,#N/A
220,140,4.3137255,2.745098,85,25,0.5455,-0.2062,-10,12,0,#N/A
220,141,4.3137255,2.7647059,85,31,0.4655,0.08,0,-6,0,#N/A
220,142,4.3137255,2.7843137,85,23,0.5741,-0.1086,0,8,0,#N/A
220,143,4.3137255,2.8039216,87,29,0.5,0.0741,-2,-6,0,#N/A
220,144,4.3137255,2.8235294,94,21,0.6348,-0.1348,-7,8,0,#N/A
220,145,4.3137255,2.8431373,93,18,0.6757,-0.0409,1,3,0,#N/A
220,146,4.3137255,2.8627451,94,22,0.6207,0.055,-1,-4,0,#N/A
220,147,4.3137255,2.8823529,97,20,0.6581,-0.0374,-3,2,0,#N/A
220,148,4.3137255,2.9019608,92,24,0.5862,0.0719,5,-4,0,#N/A
220,149,4.3137255,2.9215686,93,20,0.646,-0.0598,-1,4,0,#N/A
220,150,4.3137255,2.9411765,89,18,0.6636,-0.0176,4,2,0,#N/A
220,151,4.3137255,2.9607843,90,15,0.7143,-0.0507,-1,3,0,#N/A
220,152,4.3137255,2.9803922,86,22,0.5926,0.1217,4,-7,0,#N/A
220,153,4.3137255,3,87,12,0.7576,-0.165,-1,10,0,#N/A
220,154,4.3137255,3.0196078,91,21,0.625,0.1326,-4,-9,0,#N/A
220,155,4.3137255,3.0392157,86,24,0.5636,0.0614,5,-3,0,#N/A
220,156,4.3137255,3.0588235,81,26,0.514,0.0496,5,-2,0,#N/A
220,157,4.3137255,3.0784314,86,30,0.4828,0.0312,-5,-4,0,#N/A
220,158,4.3137255,3.0980392,80,29,0.4679,0.0149,6,1,0,#N/A
220,159,4.3137255,3.1176471,77,25,0.5098,-0.0419,3,4,0,#N/A
220,160,4.3137255,3.1372549,72,23,0.5158,-0.006,5,2,0,#N/A
220,161,4.3137255,3.1568627,68,34,0.3333,0.1825,4,-11,0,#N/A
220,162,4.3137255,3.1764706,69,34,0.3398,-0.0065,-1,0,0,#N/A
220,163,4.3137255,3.1960784,61,24,0.4353,-0.0955,8,10,0,#N/A
220,164,4.3137255,3.2156863,56,35,0.2308,0.2045,5,-11,0,#N/A
220,165,4.3137255,3.2352941,61,45,0.1509,0.0799,-5,-10,0,#N/A
220,166,4.3137255,3.254902,57,41,0.1633,-0.0124,4,4,0,#N/A
220,167,4.3137255,3.2745098,56,53,0.0275,0.1358,1,-12,0,#N/A
220,168,4.3137255,3.2941176,45,58,-0.1262,0.1537,11,-5,0,#N/A
220,169,4.3137255,3.3137255,40,48,-0.0909,-0.0353,5,10,0,#N/A
220,170,4.3137255,3.3333333,43,52,-0.0947,0.0038,-3,-4,0,#N/A
220,171,4.3137255,3.3529412,37,61,-0.2449,0.1502,6,-9,0,#N/A
220,172,4.3137255,3.372549,45,65,-0.1818,-0.0631,-8,-4,0,#N/A
220,173,4.3137255,3.3921569,36,63,-0.2727,0.0909,9,2,0,#N/A
220,174,4.3137255,3.4117647,37,59,-0.2292,-0.0435,-1,4,0,#N/A
220,175,4.3137255,3.4313725,41,62,-0.2039,-0.0253,-4,-3,0,#N/A
220,176,4.3137255,3.4509804,43,65,-0.2037,-0.0002,-2,-3,0,#N/A
220,177,4.3137255,3.4705882,40,56,-0.1667,-0.037,3,9,0,#N/A
220,178,4.3137255,3.4901961,39,65,-0.25,0.0833,1,-9,0,#N/A
220,179,4.3137255,3.5098039,40,62,-0.2157,-0.0343,-1,3,0,#N/A
220,180,4.3137255,3.5294118,43,57,-0.14,-0.0757,-3,5,0,#N/A
220,181,4.3137255,3.5490196,40,55,-0.1579,0.0179,3,2,0,#N/A
220,182,4.3137255,3.5686275,36,50,-0.1628,0.0049,4,5,0,#N/A
